movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genres_1,genres_2,directorNm,directorNmEn,actor1_Nm,actor1_NmEn,watchGradeNm,dist_companyCd,dist_companyNm,dist_companyNmEn
20205187,마티나: 위험한 정사,F20,90.0,2018.0,20200324,개봉,장편,크로아티아,멜로/로맨스,,,,,,청소년관람불가,20112175.0,(주)소나무픽쳐스,Sonamu Pictures
20197974,동거 : 착한 처제,,61.0,2019.0,20200324,개봉,장편,한국,멜로/로맨스,,김환,,,,청소년관람불가,20161021.0,(주)영화사가을,
20206603,시골처녀 유혹하기,,73.0,2020.0,20200323,개봉,장편,한국,멜로/로맨스,드라마,이동준,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20197201,기러기 아빠 : 20대 섹스 파트너들,,61.0,2019.0,20200323,개봉,장편,한국,멜로/로맨스,,김환,,이은미,LEE Eun-mi,청소년관람불가,20161021.0,(주)영화사가을,
20205709,친구누나들,,60.0,2019.0,20200320,개봉,장편,한국,멜로/로맨스,,이정석,,,,청소년관람불가,20130184.0,스마일컨텐츠,
20194988,슈윙! 블루 노트 레코드 스토리,It Must Schwing - The Bluenote Story,113.0,2018.0,20200319,개봉,장편,독일,다큐멘터리,,에릭 프리에들러,Eric Friedler,허비 행콕,Herbie Hancock,12세이상관람가,20100827.0,(주)에스와이코마드,SYcomad
20206585,화끈한 새엄마:뭐든지 해줄게,,61.0,2019.0,20200318,개봉,장편,일본,멜로/로맨스,드라마,코메이,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206606,새엄마:남편으론 부족해,,69.0,2019.0,20200318,개봉,장편,일본,멜로/로맨스,드라마,코이케.Jp,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206605,물오른 새엄마,,60.0,2019.0,20200318,개봉,장편,일본,멜로/로맨스,드라마,히이라기 엔부,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206604,란제리 입는 새엄마,,60.0,2019.0,20200318,개봉,장편,일본,멜로/로맨스,드라마,히이라기 엔부,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20197236,용길이네 곱창집,Yakiniku Dragon,127.0,2018.0,20200312,개봉,장편,일본,드라마,가족,정의신,Wui-Sin Chong,김상호,KIM Sang-ho,15세이상관람가,20172421.0,(주)영화사 그램,gram FILMS
