movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genres_1,genres_2,directorNm,directorNmEn,actor1_Nm,actor1_NmEn,watchGradeNm,dist_companyCd,dist_companyNm,dist_companyNmEn,view
20136295,천주정,A Touch of Sin,129.0,2013.0,20140327,개봉,장편,중국,액션,드라마,지아 장 커,Zhang Ke Jia,강무,Jiang Wu,청소년관람불가,20100827.0,(주)에스와이코마드,SYcomad,6545
20147690,아이스맨,The Iceman,105.0,2012.0,20140327,개봉,장편,미국,범죄,드라마,아리엘 브로멘,Ariel Vromen,크리스 에반스,Chris Evans,청소년관람불가,20136655.0,스크린조이,,10910
20148168,아바타 정글의 비밀,Jungle Master,82.0,2013.0,20140327,개봉,장편,중국,애니메이션,액션,슈커,Suker,이장원,LEE Jang-won,전체관람가,20122837.0,(주)팝엔터테인먼트,Pop Entertainment,12876
20130701,메이지가 알고 있었던 일,What Maisie Knew,98.0,2012.0,20140327,개봉,장편,미국,드라마,,스콧 맥게히,Scott McGehee,줄리안 무어,Julianne Moore,15세이상관람가,20110752.0,(주)미디어데이,Mediaday,2125
20136806,마테호른,Matterhorn,87.0,2013.0,20140109,개봉,장편,네덜란드,드라마,코미디,디데릭 에빙어,Diederik Ebbinge,르네 반트 호프,Rene vant Hof,15세이상관람가,20100652.0,(재)전주국제영화제조직위원회,Jeonju International Film Festival,3968
20147872,프라이버시,Closed Circuit,96.0,2013.0,20140320,개봉,장편,미국,스릴러,,존 크로울리,John Crowley,에릭 바나,Eric Bana,15세이상관람가,20122471.0,(주)인벤트스톤,Invent Stone corp,16936
20098371,존 라베 : 난징 대학살,John Rabe,134.0,2009.0,20140320,개봉,장편,독일,전쟁,드라마,플로리안 갈렌베르거,Florian Gallenberger,울리히 터커,Ulrich Tukur,청소년관람불가,20110752.0,(주)미디어데이,Mediaday,1184
20147687,러브 인 비즈니스클래스,Love is in the air,97.0,2013.0,20140320,개봉,장편,프랑스,멜로/로맨스,,알렉상드르 카스타그네티,Alexandre Castagnetti,루디빈 사니에,Ludivine Sagnier,청소년관람불가,20124055.0,(주)마인스 엔터테인먼트,Mains Entertainment,9479
20147685,더 파크랜드,Parkland,93.0,2013.0,20140320,개봉,장편,미국,미스터리,,피터 랜즈먼,Peter Landesman,폴 지아마티,Paul Giamatti,15세이상관람가,20100631.0,(주)영화사 진진,JINJIN Pictures,6354
20133602,노아,Noah,139.0,2013.0,20140320,개봉,장편,미국,어드벤처,드라마,대런 아로노프스키,Darren Aronofsky,러셀 크로우,Russell Crowe,15세이상관람가,20110854.0,(주)씨제이이엔엠,CJ ENM Corp.,2026594
20133603,다이애나,Diana,112.0,2013.0,20140306,개봉,장편,벨기에,드라마,멜로/로맨스,올리버 히르비겔,Oliver Hirschbiegel,나오미 왓츠,Naomi Watts,15세이상관람가,20139135.0,(주)영화사 빅,Big Film,59243
20147806,비포 : 하늘을 나는 강아지의 모험,VIPO : Adventures Of The Flying Dog,67.0,2012.0,20140313,개봉,장편,이스라엘,애니메이션,어드벤처,이도 엔젤,Ido Angel,,,전체관람가,20139135.0,(주)영화사 빅,Big Film,5848
20147302,미하엘 콜하스의 선택,Michael Kohlhaas,121.0,2013.0,20140227,개봉,장편,독일,드라마,,아르노 데 팔리에르,Arnaud des Pallieres,매즈 미켈슨,Mads Mikkelsen,청소년관람불가,20100631.0,(주)영화사 진진,JINJIN Pictures,6842
20136935,위험한 패밀리,The Family,111.0,2013.0,20140122,개봉,장편,프랑스,코미디,범죄,뤽 베송,Luc Besson,로버트 드 니로,Robert DeNiro,청소년관람불가,20125875.0,(주)프레인글로벌,Prain Global Inc. ,17539
20147584,스턱 인 러브,Stuck in Love,95.0,2012.0,20140220,개봉,장편,미국,코미디,드라마,조쉬 분,Josh Boone,릴리 콜린스,Lily Collins,15세이상관람가,20137135.0,(주)앤드플러스미디어웍스,"ANDPLUS MEDIAWORKS CO.,LTD.",15147
20134592,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",Pokémon the Movie: Genesect and the Legend Awakened,94.0,2013.0,20140109,개봉,장편,일본,애니메이션,어드벤처,유야마 쿠니히코,Kunihiko Yuyama,남도형,NAM Do-hyung,전체관람가,20110854.0,(주)씨제이이엔엠,CJ ENM Corp.,321602
20147901,라스트 에너미,Dead Drop,90.0,2013.0,20140306,개봉,장편,미국,액션,범죄,R. 엘리스 프레이저,R. Ellis Frazier,루크 고스,Luke Goss,15세이상관람가,20110752.0,(주)미디어데이,Mediaday,4032
20147856,주윤발의 도성풍운,From Vegas to Macau,93.0,2013.0,20140306,개봉,장편,홍콩,액션,코미디,왕정,Jing Wong,주윤발,Yun Fat Chow,15세이상관람가,20100829.0,예지림엔터테인먼트,,1556
20147299,논스톱,Non-Stop,106.0,2013.0,20140227,개봉,장편,프랑스,액션,,자움 콜렛 세라,Jaume Collet-Serra,리암 니슨,Liam Neeson,15세이상관람가,20100932.0,(주)넥스트엔터테인먼트월드(NEW),Next Entertainment World,2084482
20136296,투 더 원더,To the Wonder,112.0,2012.0,20140306,개봉,장편,미국,멜로/로맨스,드라마,테렌스 맬릭,Terrence Malick,벤 애플렉,Ben Affleck,청소년관람불가,20110752.0,(주)미디어데이,Mediaday,2275
20147909,추적자,Shot Gun,91.0,2012.0,20140306,개봉,장편,일본,범죄,드라마,무로가 아츠시,Atsushi Muroga,양동근,YANG Dong-keun,청소년관람불가,20136655.0,스크린조이,,10502
20147247,300: 제국의 부활,300: Rise of an Empire,102.0,2014.0,20140306,개봉,장편,미국,액션,드라마,노암 머로,Noam Murro,레나 헤디,Lena Headey,청소년관람불가,20100043.0,워너브러더스 코리아(주),Warner Bros. Korea,1593116
20147088,들개들,Stray Dogs,98.0,2013.0,20140123,개봉,장편,한국,스릴러,,하원준,HA Won-jun,김정훈,KIM Jung-hoon,청소년관람불가,20123221.0,골든타이드픽처스(주),Golden Tide Pictures,1617
20147857,대무생,My Kingdom,99.0,2011.0,20140227,개봉,장편,홍콩,액션,드라마,고효송,Xiaosong Gao,한경,Han Geng,15세이상관람가,20112175.0,(주)소나무픽쳐스,Sonamu Pictures,1132
20136297,해피엔딩 네버엔딩,Under the Rainbow,112.0,2013.0,20140213,개봉,장편,프랑스,코미디,멜로/로맨스,아그네스 자우이,Agnes Jaoui,아가사 보니처,Agathe Bonitzer,12세이상관람가,20114813.0,(주)영화사 조제,Film JoseE ,1796
20147565,비밀과외,,65.0,2013.0,20140213,개봉,장편,한국,멜로/로맨스,드라마,미스터 엘,MR.엘,,,청소년관람불가,20063099.0,(주)케이알씨지,KRCG,1590
20147430,모뉴먼츠 맨: 세기의 작전,The Monuments Men,118.0,2014.0,20140227,개봉,장편,독일,액션,드라마,조지 클루니,George Clooney,맷 데이먼,Matt Damon,12세이상관람가,20100041.0,이십세기폭스코리아(주),20th Century Fox Korea,71483
