runTm,nation,genre,director,actor,is_adult,distributor,view,openMonth
119,2,2,오우삼,벤 애플렉,0,CJ ENM,131390,1
77,3,1,츠카모토 신야,구로사와 아스카,1,(주)마블엔터테인먼트,2718,12
97,3,1,데이빗 맥킨지,이완 맥그리거,1,롯데엔터테인먼트,22769,12
97,2,3,조셉 루벤,크리스토퍼 코바레스키,0,소니픽쳐스릴리징코리아,198010,12
110,3,1,올리비에 아사야스,장만옥,0,(주)스폰지이엔티,6942,11
114,2,8,레니 할린,이자벨라 스코럽코,1,워너브러더스 코리아(주),77126,11
97,2,2,팀 스토리,지젤 번천,0,이십세기폭스코리아(주),134885,11
108,2,5,키넌 아이보리 웨이언스,숀 웨이언스,0,소니픽쳐스릴리징코리아,79186,11
92,2,5,로슨 마샬 터버,벤 스틸러,0,이십세기폭스코리아(주),7901,11
95,2,2,알렉산더 윗,오데드 페르,1,(주)시네마서비스,363273,11
115,2,7,게리 마샬,줄리 앤드류스,0,소니픽쳐스릴리징코리아,128615,10
93,2,5,프랭크 오즈,니콜 키드먼,0,CJ ENM,171805,10
147,2,2,토니 스콧,덴젤 워싱턴,0,이십세기폭스코리아(주),307751,9
105,2,2,피토프,할리 베리,0,워너브러더스 코리아(주),184929,9
108,2,8,M. 나이트 샤말란,호아킨 피닉스,0,소니픽쳐스릴리징코리아,378950,9
87,2,2,케빈 브레이,조니 녹스빌,0,이십세기폭스코리아(주),1069,9
124,2,2,조나단 헨스라이,토마스 제인,1,소니픽쳐스릴리징코리아,5679,9
97,2,5,마크 S. 워터스,린제이 로한,0,UIP코리아,88261,9
85,3,5,프랑시스 베베르,제라르 드빠르디유,0,쇼이스트(주),18636,8
122,2,2,길예르모 델 토로,셀마 블레어,0,소니픽쳐스릴리징코리아,114745,8
110,2,2,폴 그린그래스,맷 데이먼,0,UIP코리아,370894,8
115,2,2,데이빗 토히,빈 디젤,0,CJ ENM,288900,8
73,2,12,윌 핀,랜디 퀘이드,0,소니픽쳐스릴리징코리아,5592,8
88,3,5,가브리엘 무치노,실비오 무치노,0,(주)동숭아트센터,3002,8
89,1,8,정용기,임은경,0,롯데엔터테인먼트,214709,7
119,2,1,안톤 후쿠아,스티븐 딜레인,0,소니픽쳐스릴리징코리아,807850,7
117,3,1,유위강,양조위,1,이십세기폭스코리아(주),54369,7
126,2,2,샘 레이미,토비 맥과이어,0,소니픽쳐스릴리징코리아,1506217,6
108,3,5,장 프랑소아 풀리오,브누아 브리에르,0,필름뱅크(주),22271,6
111,2,7,마사 쿨리지,줄리아 스타일즈,0,소니픽쳐스릴리징코리아,52261,6
92,2,12,캘리 애스버리,마이크 마이어스,0,CJ ENM,1662141,6
90,2,8,데이비드 R. 엘리스,마이클 랜디스,1,UIP코리아,87267,6
104,2,5,조엘 코엔,톰 행크스,0,소니픽쳐스릴리징코리아,25005,6
90,3,8,대니 팽,원려기,0,쇼이스트(주),150534,5
95,3,1,빔 벤더스,제임스 블루드 울머,0,(주)스폰지이엔티,5333,5
136,2,2,쿠엔틴 타란티노,우마 서먼,1,CJ ENM,138031,5
100,2,2,토드 필립스,오웬 윌슨,0,소니픽쳐스릴리징코리아,14212,4
93,2,5,라자 고스넬,프린즈 프레디 주니어,0,워너브러더스 코리아(주),18954,4
118,2,3,제인 캠피온,마크 러팔로,1,CJ ENM,26973,4
108,3,1,그레고 조단,히스 레저,0,UIP코리아,1270,4
102,2,3,D.J. 카루소,에단 호크,1,워너브러더스 코리아(주),38736,4
111,3,1,츠츠미 유키히코,히로스에 료코,0,(주)스폰지이엔티,6185,4
133,3,2,후카사쿠 킨지,오시나리 슈고,0,(주)동아수출공사,6421,4
103,2,7,케빈 스미스,벤 애플렉,0,CJ ENM,91127,4
89,2,7,존 햄버그,제니퍼 애니스턴,0,UIP코리아,37807,4
93,2,5,마크 S. 워터스,제이미 리 커티스,0,소니픽쳐스릴리징코리아,2862,4
94,2,1,빌 우드러프,릴 로메오,0,UIP코리아,27330,3
105,1,1,윤인호,윤범호,0,(주)시네마서비스,85312,3
135,2,2,조 존스톤,줄레이카 로빈슨,0,소니픽쳐스릴리징코리아,29703,3
95,2,7,로버트 루케틱,조쉬 더하멜,0,CJ ENM,18401,3
117,2,1,마이크 뉴웰,매기 질렌할,0,소니픽쳐스릴리징코리아,37280,3
105,2,3,칼 프랭클린,에바 멘데스,0,이십세기폭스코리아(주),5770,3
93,3,7,얀 사뮤엘,마리옹 꼬띠아르,0,(주)엔터모드,11266,3
118,2,5,바비 패럴리,맷 데이먼,0,이십세기폭스코리아(주),4581,2
95,2,5,숀 레비,스티브 마틴,0,이십세기폭스코리아(주),13537,2
96,3,5,다니엘라 페허만,실비아 아바스칼,0,판씨네마(주),3911,4
118,1,3,장윤현,고수,0,(주)시네마서비스,237763,10
75,3,1,야니크 하스트럽,오토 브랜덴버그,0,필름뱅크(주),3434,1
127,2,3,게리 플레더,더스틴 호프만,0,이십세기폭스코리아(주),23415,1
127,2,1,마틴 캠벨,클라이브 오웬,0,UIP코리아,3698,2
98,2,2,존 맥티어난,사무엘 L. 잭슨,0,코리아픽쳐스(주),11646,2
85,2,1,애론 블레이즈,제레미 슈어레즈,0,소니픽쳐스릴리징코리아,17184,1
128,2,5,낸시 마이어스,잭 니콜슨,0,워너브러더스 코리아(주),138609,2
98,2,5,게리 위닉,제니퍼 가너,0,소니픽쳐스릴리징코리아,44359,11
128,2,1,스티븐 스필버그,톰 행크스,0,CJ ENM,986903,8
119,1,3,김대승,차승원,1,(주)시네마서비스,1926681,5
96,3,5,아키 카우리스마키,마르꾸 펠톨라,0,(주)영화랑,2642,10
108,3,1,허우 샤오시엔,히토토 요,0,(주)동숭아트센터,9358,10
120,1,2,김지운,이병헌,1,CJ ENM,1112950,4
129,1,7,민규동,황정민,0,CJ ENM,2290717,10
108,3,1,왕가위,공리,1,스폰지,28835,6
95,1,1,임태형,박원상,0,(주)시네마서비스,924019,5
104,1,5,김현석,김주혁,0,(주)엠케이픽처스 ,2024818,11
101,1,5,정초신,이지훈,0,롯데엔터테인먼트,813164,1
102,1,5,임상수,한석규,0,(주)엠케이픽처스 ,890602,2
146,3,1,이와이 슌지,이치하라 하야토,0,(주)미디어캐슬,9947,6
156,2,2,마이크 뉴웰,다니엘 래드클리프,0,워너브러더스 코리아(주),3499257,12
103,2,7,마이크 니콜스,나탈리 포트만,1,(주)스튜디오디에이치엘,248409,2
118,3,1,도이 노부히로,다케우치 유코,0,(주)디스테이션,180524,3
129,2,1,카티아 런드,알렉산드레 로드리게즈,1,프리비젼엔터테인먼트,9352,11
134,2,11,크리스토퍼 놀란,리암 니슨,0,워너브러더스 코리아(주),903202,6
121,1,7,박진표,전도연,1,CJ ENM,2701974,9
114,3,1,베르나르도 베르톨루치,에바 그린,1,찬란,42905,3
112,1,3,박찬욱,이영애,1,CJ ENM,3122289,7
