movieCd,movieNm,openDt
20050303,용서받지 못한 자,20051118
20040751,"여자, 정혜",20050310
20050326,태풍,20051214
20050055,나는 나를 파괴할 권리가 있다,20050415
20050324,킹콩,20051214
20050064,간 큰 가족,20050609
20050219,가문의 위기(가문의 영광2),20050907
20050237,미스터 주부퀴즈왕,20050930
20050306,애인,20051208
20050261,야수와 미녀,20051027
20050013,잠복근무,20050317
20050141,천군,20050715
20050174,사우스 스트리트의 소매치기 ,20050707
20040683,스왈로우테일 버터플라이,20050623
20050365,올리버 트위스트,20051229
20050153,목두기 비디오,20050715
20050082,이터널 선샤인,20051110
20050015,태풍태양,20050602
20050189,"이대로, 죽을 순 없다(Short Time)",20050818
20050093,폼포코 너구리 대작전,20050428
20050258,신화 : 진시황릉의 비밀,20051013
20050332,파랑주의보,20051222
20050252,신주쿠 여고생 납치사건(완전한 사육),20051014
20050276,"사랑해, 말순씨",20051103
20050340,내 미국 삼촌,20051223
20050203,로렌조의 밤,20050819
20050139,인 디스 월드,20050707
20050190,첼로-홍미주 일가 살인사건,20050818
20050111,녹색의자,20050609
20050330,작업의 정석,20051221
20050238,칠검,20050929
20050318,6월의 일기,20051201
20050256,새드무비,20051020
20050305,나의 결혼원정기,20051123
20050134,불안,20050610
20050290,로드 오브 워,20051118
20050201,천리마 축구단,20050826
20050137,우주전쟁,20050707
20040795,크로커다일 던디 3,20050114
20050005,마이 러브,20050121
20050099,정사 3,20050513
20050109,권태,20050617
20050236,동백꽃,20050916
20050248,리플리스 게임,20051007
20050196,루시아,20050902
20050091,미안해,20050505
20050103,5월의 구름,20050428
20050224,거칠마루,20050915
20050029,엄마,20050407
20050106,극장전,20050526
20050299,라스트 씬,20051103
20050215,"라스트 라이프, 라스트 러브 ",20050902
20050143,스팀보이,20050804
20050157,아름다운 세탁기,20050708
20050035,69 식스티 나인,20050325
20050223,랜드 오브 플렌티,20050916
20050311,영화소년 샤오핑,20051118
20050168,로봇(애니),20050728
20050279,뉴월드,20051125
20050066,신부와 편견,20050402
20050067,머시니스트,20050409
20050117,pm 11:14,20050602
20050251,빨간 구두,20051014
20040793,"제니, 주노",20050218
20050321,브로큰 플라워,20051208
20050065,트리플 X2 : 넥스트 레벨,20050429
20050274,골!,20051104
20050291,그림형제 : 마르바덴 숲의 전설,20051117
20050317,굿 우먼,20051208
20050205,그녀는 요술쟁이,20050825
20050159,구름의 남쪽,20050708
20050087,그루지,20050526
20050063,거북이도 난다,20050422
20050056,걸스 온 탑2,20050331
20050108,게스후,20050902
20050169,캐산,20050707
20050084,씬 시티,20050630
20040797,마더 데레사,20050121
20050304,천국의 아이들 2 - 시험보는 날,20051117
20050012,레이,20050225
20050278,월래스와 그로밋 : 거대토끼의 저주,20051104
20050240,별별 이야기,20050923
20050048,미스 에이전트2 : 라스베가스 잠입사건,20050401
20050033,Mr.히치: 당신을 위한 데이트 코치,20050311
20050089,투엘디케이,20050513
20040772,역전의 명수,20050415
20050204,바리바리 짱,20050819
20050020,우디 앨런의 애니씽 엘스,20050204
20050230,헐리우드 엔딩,20050930
20050142,여고괴담 4 : 목소리,20050715
20040800,당시,20050520
20050047,에쥬케이터,20050506
20050202,불량공주 모모코,20050902
20050149,드랙퀸 가무단,20050708
20050183,피오릴레,20050819
20048020,철수♡영희,20050107
20050316,다섯은 너무 많아,20051125
20050070,브라더스,20050423
20050200,어떤 나라,20050826
20050225,찰리와 초콜릿 공장,20050916
20050119,언두,20050623
20040796,토미에-리버스,20050902
20050227,한길수,20050923
20050051,알렉스와 엠마,20050303
20050277,40살까지 못해본 사람,20051104
20050062,링2(2005),20050603
20050231,사랑을 하는 여자 : 창녀,20050909
20050254,퍼펙트 웨딩(몬스터 인 로),20051020
20050191,오픈 워터,20050826
20050186,옹박 : 두번째 미션,20050818
20050145,판타스틱4,20050811
20050176,부기맨,20050728
20050074,밀리언즈,20050504
20050072,착신아리2,20050429
20040027,유희왕 극장판,20050401
20050014,쏘우,20050310
20040769,스노우 워커,20050225
20050297,2005칸국제광고제 수상작 필름페스티벌,20051029
20030118,초승달과 밤배,20050825
20040626,그리스 로마신화 - 올림포스 가디언 - 기간테스 대역습,20050728
20040788,깃,20050114
20050036,가능한 변화들,20050318
20040771,레드 아이,20050218
20050177,"버스데이 보이(단편, 애니)",20050609
20050040,스나이퍼 3,20050224
20050165,허비,20050819
20050199,황야의 마니투,20051028
20050322,프라임 러브,20051208
20050181,펭귄 - 위대한 모험(다큐),20050811
20050255,플라이트 플랜,20051118
20050293,터치 오브 스파이스,20051125
20050259,트랜스포터 엑스트림,20051020
20050226,토니 타키타니,20050922
20050095,킨제이 보고서,20050513
20050257,케이브,20051020
20050207,크림슨 리버2,20050901
20050122,퀵샌드,20050526
20050319,저스트 라이크 헤븐,20051201
20050161,즐거운 경찰,20050715
20050289,엘리자베스타운,20051118
20050253,유령신부(애니),20051103
20050331,"우리, 사랑해도 되나요?",20051215
20050198,인 굿 컴퍼니,20050826
20050107,은하수를 여행하는 히치하이커를 위한 안내서,20050826
20050185,애프터 선셋,20050825
20040710,오픈 레인지,20051027
20050144,아일랜드,20050721
20050184,사랑은 타이밍,20051103
20050358,섹스와 철학,20051209
20050275,스테이,20051103
20050222,신데렐라맨,20050915
20050188,사울과 다윗,20050716
20050171,섹스 마네킹,20050715
20050147,샤크보이와 라바걸의 모험 : 3-D,20050721
20050182,스켈리톤 키,20050825
20050018,숨바꼭질,20050225
20050179,스텔스,20050728
20050228,보글보글 스폰지밥(애니),20050930
20050341,빅 화이트,20051229
20050154,발리언트(애니),20050805
20050272,빙 줄리아,20051027
20050152,베니스의 상인,20051020
20050286,블루스톰,20051117
20040714,맨츄리안 캔디데이트,20050311
20050285,레알,20051123
20050263,레전드 오브 조로,20051028
20050235,레이어 케이크,20050916
20050218,랜드 오브 데드,20050902
20050026,"독일, 창백한 어머니",20050218
20050320,둠,20051202
20050284,도쿄타워,20051123
20050309,도쿄 데카당스,20051202
20050221,나이트 플라이트,20050909
