movieCd,movieNm,showTm,nationNm,genres_1,directorNm,actor1_Nm,dist_companyNm,view,openMonth,is_adult
20040573,킹 아더,119.0,2,1,안톤 후쿠아,스티븐 딜레인,한국소니픽쳐스릴리징브에나비스타영화㈜,807850,07,0.0
20040455,무간도3 - 종극무간,117.0,3,1,유위강,양조위,이십세기폭스코리아(주),54369,07,1.0
20040491,스파이더맨 2,126.0,2,2,샘 레이미,토비 맥과이어,한국소니픽쳐스릴리징브에나비스타영화㈜,1506217,06,0.0
20040584,대단한 유혹,108.0,3,5,장 프랑소아 풀리오,브누아 브리에르,필름뱅크(주),22271,06,0.0
20040582,내 남자 친구는 왕자님,111.0,2,7,마사 쿨리지,줄리아 스타일즈,한국소니픽쳐스릴리징브에나비스타영화㈜,52261,06,0.0
20040566,슈렉2,92.0,2,12,캘리 애스버리,마이크 마이어스,CJ ENM,1662141,06,0.0
20040591,데스티네이션 2,90.0,2,8,데이비드 R. 엘리스,마이클 랜디스,UIP코리아,87267,06,1.0
20040588,레이디킬러,104.0,2,5,조엘 코엔,톰 행크스,한국소니픽쳐스릴리징브에나비스타영화㈜,25005,06,0.0
20040569,디 아이2,90.0,3,8,대니 팽,원려기,쇼이스트(주),150534,05,0.0
20040557,더 블루스-소울 오브 맨,95.0,3,1,빔 벤더스,제임스 블루드 울머,(주)스폰지이엔티,5333,05,0.0
20040556,킬 빌2,136.0,2,2,쿠엔틴 타란티노,우마 서먼,CJ ENM,138031,05,1.0
20040544,스타스키와 허치,100.0,2,2,토드 필립스,오웬 윌슨,한국소니픽쳐스릴리징브에나비스타영화㈜,14212,04,0.0
20040543,스쿠비-두2 : 몬스터 대소동,93.0,2,5,라자 고스넬,프린즈 프레디 주니어,워너브러더스 코리아(주),18954,04,0.0
20040533,인 더 컷,118.0,2,3,제인 캠피온,마크 러팔로,CJ ENM,26973,04,1.0
20040536,네드 켈리,108.0,3,1,그레고 조단,히스 레저,UIP코리아,1270,04,0.0
20040524,테이킹 라이브즈,102.0,2,3,D.J. 카루소,에단 호크,워너브러더스 코리아(주),38736,04,1.0
20040529,연애사진,111.0,3,1,츠츠미 유키히코,히로스에 료코,(주)스폰지이엔티,6185,04,0.0
20040523,배틀로얄 2 - 레퀴엠,133.0,3,2,후카사쿠 킨지,오시나리 슈고,(주)동아수출공사,6421,04,0.0
20040499,저지 걸,103.0,2,7,케빈 스미스,벤 애플렉,CJ ENM,91127,04,0.0
20040522,폴리와 함께,89.0,2,7,존 햄버그,제니퍼 애니스턴,UIP코리아,37807,04,0.0
20040485,프리키 프라이데이,93.0,2,5,마크 S. 워터스,제이미 리 커티스,한국소니픽쳐스릴리징브에나비스타영화㈜,2862,04,0.0
20040506,허니,94.0,2,1,빌 우드러프,릴 로메오,UIP코리아,27330,03,0.0
