runTm,nation,genre,director,actor,is_adult,distributor,view,openMonth
93.0,3,1,까트린느 브레이야,아나이스 르부,1.0,㈜영화사 백두대간,8623,08
81.0,2,11,구스 반 산트,알렉스 프로스트,1.0,(주)동숭아트센터,12833,08
102.0,2,7,소피아 코폴라,빌 머레이,0.0,CJ ENM,33859,02
119.0,3,1,이마무라 쇼헤이,시미즈 미사,1.0,(주)동숭아트센터,1558,04
123.0,2,10,마이클 무어,마이클 무어,0.0,스튜디오플러스(주),177255,07
84.0,2,2,로버트 로드리게즈,알레한드로 로즈-가르시아,0.0,CJ ENM,6530,02
90.0,2,2,폴 W.S. 앤더슨,라울 보바,0.0,이십세기폭스필름코퍼레이션,180626,09
120.0,3,1,파티 아킨,시벨 케킬리,1.0,제이에스필름,17016,11
87.0,2,5,피터 휴잇,빌 머레이,0.0,이십세기폭스필름코퍼레이션,240236,08
96.0,3,5,기타노 다케시,야나기 유레이,1.0,(주)스폰지이엔티,1777,08
92.0,1,8,유상곤,송윤아,0.0,(주)시네마서비스,238950,06
100.0,3,8,잭 스나이더,사라 폴리,1.0,UIP코리아,106515,05
116.0,2,2,리차드 도너,제라드 버틀러,0.0,(주)튜브엔터테인먼트,23130,02
94.0,2,2,윌리엄 프리드킨,베니치오 델 토로,1.0,(주)튜브엔터테인먼트,28732,03
89.0,3,7,피터 호윗,피어스 브로스넌,0.0,코리아픽쳐스(주),65383,11
90.0,2,5,프랑코 코라시,성룡,0.0,(주)쇼박스,478555,09
87.0,2,7,가이 퍼랜드,로몰라 가레이,0.0,아우라엔터테인먼트,24876,04
88.0,3,8,시모야마 텐,마츠오 레이코,0.0,무비즈엔터테인먼트㈜,2959,04
125.0,3,1,다카하타 히데타,쿠사나기 츠요시,0.0,CJ ENM,4358,09
103.0,1,5,오덕환,은지원,0.0,무비즈엔터테인먼트㈜,57943,12
100.0,1,1,이규형,김정훈,1.0,영화사청어람(주),102233,11
83.0,1,1,서세원,유오성,0.0,(주)소스원프로덕션,20318,09
74.0,1,12,안태근,김용준,0.0,스폰지,36200,08
99.0,2,5,롭 민코프,에디 머피,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,9883,04
119.0,2,2,오우삼,벤 애플렉,0.0,CJ ENM,131390,01
77.0,3,1,츠카모토 신야,구로사와 아스카,1.0,(주)마블엔터테인먼트,2718,12
97.0,3,1,데이빗 맥킨지,이완 맥그리거,1.0,롯데쇼핑㈜롯데엔터테인먼트,22769,12
97.0,2,3,조셉 루벤,크리스토퍼 코바레스키,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,198010,12
110.0,3,1,올리비에 아사야스,장만옥,0.0,(주)스폰지이엔티,6942,11
114.0,2,8,레니 할린,이자벨라 스코럽코,1.0,워너브러더스 코리아(주),77126,11
97.0,2,2,팀 스토리,지젤 번천,0.0,이십세기폭스필름코퍼레이션,134885,11
108.0,2,5,키넌 아이보리 웨이언스,숀 웨이언스,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,79186,11
92.0,2,5,로슨 마샬 터버,벤 스틸러,0.0,이십세기폭스필름코퍼레이션,7901,11
95.0,2,2,알렉산더 윗,오데드 페르,1.0,(주)시네마서비스,363273,11
115.0,2,7,게리 마샬,줄리 앤드류스,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,128615,10
93.0,2,5,프랭크 오즈,니콜 키드먼,0.0,CJ ENM,171805,10
147.0,2,2,토니 스콧,덴젤 워싱턴,0.0,이십세기폭스필름코퍼레이션,307751,09
105.0,2,2,피토프,할리 베리,0.0,워너브러더스 코리아(주),184929,09
108.0,2,8,M. 나이트 샤말란,호아킨 피닉스,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,378950,09
87.0,2,2,케빈 브레이,조니 녹스빌,0.0,이십세기폭스필름코퍼레이션,1069,09
124.0,2,2,조나단 헨스라이,토마스 제인,1.0,한국소니픽쳐스릴리징브에나비스타영화㈜,5679,09
97.0,2,5,마크 S. 워터스,린제이 로한,0.0,UIP코리아,88261,09
85.0,3,5,프랑시스 베베르,제라르 드빠르디유,0.0,쇼이스트(주),18636,08
122.0,2,2,길예르모 델 토로,셀마 블레어,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,114745,08
110.0,2,2,폴 그린그래스,맷 데이먼,0.0,UIP코리아,370894,08
115.0,2,2,데이빗 토히,빈 디젤,0.0,CJ ENM,288900,08
73.0,2,12,윌 핀,랜디 퀘이드,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,5592,08
88.0,3,5,가브리엘 무치노,실비오 무치노,0.0,(주)동숭아트센터,3002,08
89.0,1,8,정용기,임은경,0.0,롯데쇼핑㈜롯데시네마,214709,07
119.0,2,1,안톤 후쿠아,스티븐 딜레인,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,807850,07
117.0,3,1,유위강,양조위,1.0,이십세기폭스코리아(주),54369,07
126.0,2,2,샘 레이미,토비 맥과이어,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,1506217,06
108.0,3,5,장 프랑소아 풀리오,브누아 브리에르,0.0,필름뱅크(주),22271,06
111.0,2,7,마사 쿨리지,줄리아 스타일즈,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,52261,06
92.0,2,12,캘리 애스버리,마이크 마이어스,0.0,CJ ENM,1662141,06
90.0,2,8,데이비드 R. 엘리스,마이클 랜디스,1.0,UIP코리아,87267,06
104.0,2,5,조엘 코엔,톰 행크스,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,25005,06
90.0,3,8,대니 팽,원려기,0.0,쇼이스트(주),150534,05
95.0,3,1,빔 벤더스,제임스 블루드 울머,0.0,(주)스폰지이엔티,5333,05
136.0,2,2,쿠엔틴 타란티노,우마 서먼,1.0,CJ ENM,138031,05
100.0,2,2,토드 필립스,오웬 윌슨,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,14212,04
93.0,2,5,라자 고스넬,프린즈 프레디 주니어,0.0,워너브러더스 코리아(주),18954,04
118.0,2,3,제인 캠피온,마크 러팔로,1.0,CJ ENM,26973,04
108.0,3,1,그레고 조단,히스 레저,0.0,UIP코리아,1270,04
